Date,Total MSW
196001,88120000
197001,121060000
198001,151640000
199001,208270000
200001,243450000
200501,253730000
201001,251050000
201101,251970000
201201,252290000
201301,255070000
201401,258400000
201501,262110000
201601,268110000
201701,268660000
201801,292360000
